store_id,store_name,city,state,district_id,region_id,store_format,square_footage,has_self_checkout,has_fuel,open_date,manager_employee_id,manager_tenure_months
1,MetroFresh #0001,City_1,IL,1,2,suburban,2649,True,True,2021-02-15,10001,20
2,MetroFresh #0002,City_2,WV,2,1,suburban,3125,False,True,2023-09-14,10002,7
3,MetroFresh #0003,City_3,MI,3,2,urban,3285,True,False,2010-12-03,10003,15
4,MetroFresh #0004,City_4,MN,4,1,suburban,3179,True,True,2019-04-06,10004,9
5,MetroFresh #0005,City_5,OH,1,2,suburban,3693,True,True,2013-06-16,10005,4
6,MetroFresh #0006,City_6,KY,2,1,urban,2467,True,False,2022-02-27,10006,17
7,MetroFresh #0007,City_7,MN,3,2,urban,3406,True,False,2022-06-03,10007,13
8,MetroFresh #0008,City_8,MI,4,1,rural,2142,False,True,2009-03-12,10008,1
9,MetroFresh #0009,City_9,WI,1,2,urban,2662,True,True,2011-03-12,10009,51
10,MetroFresh #0010,City_10,MI,2,1,suburban,3132,False,True,2009-03-14,10010,8
11,MetroFresh #0011,City_11,MI,3,2,suburban,3252,True,True,2006-08-10,10011,1
12,MetroFresh #0012,City_12,IL,4,1,urban,3020,True,True,2006-03-09,10012,20
13,MetroFresh #0013,City_13,KY,1,2,highway,3258,False,False,2017-10-19,10013,51
14,MetroFresh #0014,City_14,WI,2,1,urban,3781,True,True,2010-09-09,10014,1
15,MetroFresh #0015,City_15,OH,3,2,urban,2692,True,True,2021-01-10,10015,14
16,MetroFresh #0016,City_16,PA,4,1,rural,2706,True,True,2011-10-17,10016,22
17,MetroFresh #0017,City_17,IL,1,2,suburban,3885,True,True,2016-11-08,10017,17
18,MetroFresh #0018,City_18,PA,2,1,suburban,3651,False,False,2017-08-25,10018,39
19,MetroFresh #0019,City_19,IL,3,2,urban,3521,True,False,2021-03-24,10019,8
20,MetroFresh #0020,City_20,MI,4,1,suburban,2651,True,True,2005-03-10,10020,23
21,MetroFresh #0021,City_21,WV,1,2,suburban,3355,True,True,2010-01-20,10021,1
22,MetroFresh #0022,City_22,WI,2,1,highway,3669,False,True,2021-11-29,10022,95
23,MetroFresh #0023,City_23,MN,3,2,suburban,2401,True,True,2010-02-24,10023,89
24,MetroFresh #0024,City_24,MI,4,1,suburban,3184,False,True,2008-09-29,10024,53
25,MetroFresh #0025,City_25,MI,1,2,suburban,4087,True,False,2014-11-30,10025,87
26,MetroFresh #0026,City_26,OH,2,1,urban,3438,True,True,2005-03-23,10026,60
27,MetroFresh #0027,City_27,MN,3,2,urban,3857,False,True,2019-11-15,10027,5
28,MetroFresh #0028,City_28,WI,4,1,suburban,2998,False,True,2017-01-04,10028,15
29,MetroFresh #0029,City_29,IL,1,2,urban,4062,True,True,2008-09-23,10029,73
30,MetroFresh #0030,City_30,PA,2,1,highway,3204,True,True,2005-03-12,10030,7
31,MetroFresh #0031,City_31,PA,3,2,highway,2005,False,True,2005-07-05,10031,2
32,MetroFresh #0032,City_32,IN,4,1,suburban,3455,True,True,2008-09-27,10032,5
33,MetroFresh #0033,City_33,MN,1,2,urban,2978,False,True,2019-04-15,10033,85
34,MetroFresh #0034,City_34,IL,2,1,urban,3294,True,True,2009-12-23,10034,24
35,MetroFresh #0035,City_35,MN,3,2,urban,2791,True,True,2005-03-29,10035,74
36,MetroFresh #0036,City_36,WV,4,1,urban,3041,True,True,2011-10-12,10036,21
37,MetroFresh #0037,City_37,WI,1,2,urban,3406,True,True,2012-12-13,10037,92
38,MetroFresh #0038,City_38,OH,2,1,urban,3755,True,True,2018-08-21,10038,16
39,MetroFresh #0039,City_39,WI,3,2,urban,4132,True,True,2014-06-02,10039,23
40,MetroFresh #0040,City_40,MN,4,1,suburban,2611,False,True,2020-06-20,10040,2
41,MetroFresh #0041,City_41,IL,1,2,highway,3826,False,True,2010-12-06,10041,22
42,MetroFresh #0042,City_42,KY,2,1,highway,3337,False,True,2006-11-01,10042,53
43,MetroFresh #0043,City_43,IL,3,2,suburban,3262,True,True,2022-04-04,10043,4
44,MetroFresh #0044,City_44,MN,4,1,urban,3360,True,False,2005-05-04,10044,76
45,MetroFresh #0045,City_45,IN,1,2,rural,3254,False,True,2019-08-12,10045,58
46,MetroFresh #0046,City_46,PA,2,1,suburban,3249,False,True,2016-10-19,10046,7
47,MetroFresh #0047,City_47,MI,3,2,highway,3386,True,False,2021-09-22,10047,18
48,MetroFresh #0048,City_48,WI,4,1,suburban,4085,True,True,2009-09-03,10048,81
49,MetroFresh #0049,City_49,PA,1,2,suburban,4015,False,True,2017-09-17,10049,48
50,MetroFresh #0050,City_50,KY,2,1,urban,3028,True,True,2019-09-21,10050,16
